orthogroup	motif	Hlab	Amel	Aflo	Emex	Mqua	Bimp	Bter	Mrot	Dnov	estimated_sigma1	LL	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.506e-02	-20.65544	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.506e-02	-20.65544	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.506e-02	-20.65544	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.506e-02	-20.65544	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.506e-02	-20.65544	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.506e-02	-20.65544	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.506e-02	-20.65544	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.940e-02	-21.58159	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.222e-02	-18.51170	
APO000000	BtbVII_SOLEXA	-0.095	3.509	-0.656	-1.359	-1.635	-0.755	0.625	-0.786	-1.17	 7.915e-02	-22.10731	
APO000000	CG11504_SOLEXA	-1.685	-0.849	0.04	-0.736	-1.852	-2.652	1.566	-0.562	1.9	 9.797e-02	-22.96065	
APO000000	CG12155_SOLEXA	0.845	3.026	1.983	1.206	0.329	0.261	-0.524	-1.259	0.138	 1.756e-02	-16.08364	
APO000000	CG12605_SOLEXA_5	-2.326	2.127	1.866	-2.29	-1.598	0.434	1.908	1.254	-0.536	 4.662e-02	-19.99030	
APO000000	CG14962_SOLEXA_5	2.499	-1.616	1.561	-2.054	-1.866	-0.681	0.364	1.041	-2.512	 6.498e-02	-21.31827	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.940e-02	-21.58159	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.222e-02	-18.51170	
APO000000	BtbVII_SOLEXA	-0.095	3.509	-0.656	-1.359	-1.635	-0.755	0.625	-0.786	-1.17	 7.915e-02	-22.10731	
APO000000	CG11504_SOLEXA	-1.685	-0.849	0.04	-0.736	-1.852	-2.652	1.566	-0.562	1.9	 9.797e-02	-22.96065	
APO000000	CG12155_SOLEXA	0.845	3.026	1.983	1.206	0.329	0.261	-0.524	-1.259	0.138	 1.756e-02	-16.08364	
APO000000	CG12605_SOLEXA_5	-2.326	2.127	1.866	-2.29	-1.598	0.434	1.908	1.254	-0.536	 4.662e-02	-19.99030	
APO000000	CG14962_SOLEXA_5	2.499	-1.616	1.561	-2.054	-1.866	-0.681	0.364	1.041	-2.512	 6.498e-02	-21.31827	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.940e-02	-21.58159	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.222e-02	-18.51170	
APO000000	BtbVII_SOLEXA	-0.095	3.509	-0.656	-1.359	-1.635	-0.755	0.625	-0.786	-1.17	 7.915e-02	-22.10731	
APO000000	CG11504_SOLEXA	-1.685	-0.849	0.04	-0.736	-1.852	-2.652	1.566	-0.562	1.9	 9.797e-02	-22.96065	
APO000000	CG12155_SOLEXA	0.845	3.026	1.983	1.206	0.329	0.261	-0.524	-1.259	0.138	 1.756e-02	-16.08364	
APO000000	CG12605_SOLEXA_5	-2.326	2.127	1.866	-2.29	-1.598	0.434	1.908	1.254	-0.536	 4.662e-02	-19.99030	
APO000000	CG14962_SOLEXA_5	2.499	-1.616	1.561	-2.054	-1.866	-0.681	0.364	1.041	-2.512	 6.498e-02	-21.31827	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.940e-02	-21.58159	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.222e-02	-18.51170	
APO000000	BtbVII_SOLEXA	-0.095	3.509	-0.656	-1.359	-1.635	-0.755	0.625	-0.786	-1.17	 7.915e-02	-22.10731	
APO000000	CG11504_SOLEXA	-1.685	-0.849	0.04	-0.736	-1.852	-2.652	1.566	-0.562	1.9	 9.797e-02	-22.96065	
APO000000	CG12155_SOLEXA	0.845	3.026	1.983	1.206	0.329	0.261	-0.524	-1.259	0.138	 1.756e-02	-16.08364	
APO000000	CG12605_SOLEXA_5	-2.326	2.127	1.866	-2.29	-1.598	0.434	1.908	1.254	-0.536	 4.662e-02	-19.99030	
APO000000	CG14962_SOLEXA_5	2.499	-1.616	1.561	-2.054	-1.866	-0.681	0.364	1.041	-2.512	 6.498e-02	-21.31827	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.940e-02	-21.58159	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.222e-02	-18.51170	
APO000000	BtbVII_SOLEXA	-0.095	3.509	-0.656	-1.359	-1.635	-0.755	0.625	-0.786	-1.17	 7.915e-02	-22.10731	
APO000000	CG11504_SOLEXA	-1.685	-0.849	0.04	-0.736	-1.852	-2.652	1.566	-0.562	1.9	 9.797e-02	-22.96065	
APO000000	CG12155_SOLEXA	0.845	3.026	1.983	1.206	0.329	0.261	-0.524	-1.259	0.138	 1.756e-02	-16.08364	
APO000000	CG12605_SOLEXA_5	-2.326	2.127	1.866	-2.29	-1.598	0.434	1.908	1.254	-0.536	 4.662e-02	-19.99030	
APO000000	CG14962_SOLEXA_5	2.499	-1.616	1.561	-2.054	-1.866	-0.681	0.364	1.041	-2.512	 6.498e-02	-21.31827	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.940e-02	-21.58159	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.222e-02	-18.51170	
