orthogroup	motif	Hlab	Amel	Aflo	Emex	Mqua	Bimp	Bter	Mrot	Dnov	estimated_sigma1	estimated_sigma2	LL	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.526e-02	 2.023e-09	-19.97262	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.526e-02	 2.023e-09	-19.97262	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.526e-02	 2.023e-09	-19.97262	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.526e-02	 2.023e-09	-19.97262	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.526e-02	 2.023e-09	-19.97262	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.526e-02	 2.023e-09	-19.97262	
APO000000	AbdB_SOLEXA	-0.204	0.562	-3.091	-2.226	-0.277	-1.282	-1.426	1.824	-0.47	 5.526e-02	 2.023e-09	-19.97262	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.979e-02	 7.206e-10	-20.90802	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.501e-02	 5.278e-03	-18.33619	
APO000000	BtbVII_SOLEXA	-0.095	3.509	-0.656	-1.359	-1.635	-0.755	0.625	-0.786	-1.17	 8.055e-02	 6.918e-10	-21.48227	
APO000000	CG11504_SOLEXA	-1.685	-0.849	0.04	-0.736	-1.852	-2.652	1.566	-0.562	1.9	 1.044e-01	 3.592e-02	-22.87560	
APO000000	CG12155_SOLEXA	0.845	3.026	1.983	1.206	0.329	0.261	-0.524	-1.259	0.138	 1.768e-02	 3.201e-08	-15.41015	
APO000000	CG12605_SOLEXA_5	-2.326	2.127	1.866	-2.29	-1.598	0.434	1.908	1.254	-0.536	 4.697e-02	 3.411e-09	-19.32586	
APO000000	CG14962_SOLEXA_5	2.499	-1.616	1.561	-2.054	-1.866	-0.681	0.364	1.041	-2.512	 6.699e-02	 4.558e-02	-21.30290	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.979e-02	 7.206e-10	-20.90802	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.501e-02	 5.278e-03	-18.33619	
APO000000	BtbVII_SOLEXA	-0.095	3.509	-0.656	-1.359	-1.635	-0.755	0.625	-0.786	-1.17	 8.055e-02	 6.918e-10	-21.48227	
APO000000	CG11504_SOLEXA	-1.685	-0.849	0.04	-0.736	-1.852	-2.652	1.566	-0.562	1.9	 1.044e-01	 3.592e-02	-22.87560	
APO000000	CG12155_SOLEXA	0.845	3.026	1.983	1.206	0.329	0.261	-0.524	-1.259	0.138	 1.768e-02	 3.201e-08	-15.41015	
APO000000	CG12605_SOLEXA_5	-2.326	2.127	1.866	-2.29	-1.598	0.434	1.908	1.254	-0.536	 4.697e-02	 3.411e-09	-19.32586	
APO000000	CG14962_SOLEXA_5	2.499	-1.616	1.561	-2.054	-1.866	-0.681	0.364	1.041	-2.512	 6.699e-02	 4.558e-02	-21.30290	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.979e-02	 7.206e-10	-20.90802	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.501e-02	 5.278e-03	-18.33619	
APO000000	BtbVII_SOLEXA	-0.095	3.509	-0.656	-1.359	-1.635	-0.755	0.625	-0.786	-1.17	 8.055e-02	 6.918e-10	-21.48227	
APO000000	CG11504_SOLEXA	-1.685	-0.849	0.04	-0.736	-1.852	-2.652	1.566	-0.562	1.9	 1.044e-01	 3.592e-02	-22.87560	
APO000000	CG12155_SOLEXA	0.845	3.026	1.983	1.206	0.329	0.261	-0.524	-1.259	0.138	 1.768e-02	 3.201e-08	-15.41015	
APO000000	CG12605_SOLEXA_5	-2.326	2.127	1.866	-2.29	-1.598	0.434	1.908	1.254	-0.536	 4.697e-02	 3.411e-09	-19.32586	
APO000000	CG14962_SOLEXA_5	2.499	-1.616	1.561	-2.054	-1.866	-0.681	0.364	1.041	-2.512	 6.699e-02	 4.558e-02	-21.30290	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.979e-02	 7.206e-10	-20.90802	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.501e-02	 5.278e-03	-18.33619	
APO000000	BtbVII_SOLEXA	-0.095	3.509	-0.656	-1.359	-1.635	-0.755	0.625	-0.786	-1.17	 8.055e-02	 6.918e-10	-21.48227	
APO000000	CG11504_SOLEXA	-1.685	-0.849	0.04	-0.736	-1.852	-2.652	1.566	-0.562	1.9	 1.044e-01	 3.592e-02	-22.87560	
APO000000	CG12155_SOLEXA	0.845	3.026	1.983	1.206	0.329	0.261	-0.524	-1.259	0.138	 1.768e-02	 3.201e-08	-15.41015	
APO000000	CG12605_SOLEXA_5	-2.326	2.127	1.866	-2.29	-1.598	0.434	1.908	1.254	-0.536	 4.697e-02	 3.411e-09	-19.32586	
APO000000	CG14962_SOLEXA_5	2.499	-1.616	1.561	-2.054	-1.866	-0.681	0.364	1.041	-2.512	 6.699e-02	 4.558e-02	-21.30290	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.979e-02	 7.206e-10	-20.90802	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.501e-02	 5.278e-03	-18.33619	
APO000000	BtbVII_SOLEXA	-0.095	3.509	-0.656	-1.359	-1.635	-0.755	0.625	-0.786	-1.17	 8.055e-02	 6.918e-10	-21.48227	
APO000000	CG11504_SOLEXA	-1.685	-0.849	0.04	-0.736	-1.852	-2.652	1.566	-0.562	1.9	 1.044e-01	 3.592e-02	-22.87560	
APO000000	CG12155_SOLEXA	0.845	3.026	1.983	1.206	0.329	0.261	-0.524	-1.259	0.138	 1.768e-02	 3.201e-08	-15.41015	
APO000000	CG12605_SOLEXA_5	-2.326	2.127	1.866	-2.29	-1.598	0.434	1.908	1.254	-0.536	 4.697e-02	 3.411e-09	-19.32586	
APO000000	CG14962_SOLEXA_5	2.499	-1.616	1.561	-2.054	-1.866	-0.681	0.364	1.041	-2.512	 6.699e-02	 4.558e-02	-21.30290	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.979e-02	 7.206e-10	-20.90802	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.501e-02	 5.278e-03	-18.33619	
APO000000	BtbVII_SOLEXA	-0.095	3.509	-0.656	-1.359	-1.635	-0.755	0.625	-0.786	-1.17	 8.055e-02	 6.918e-10	-21.48227	
APO000000	CG11504_SOLEXA	-1.685	-0.849	0.04	-0.736	-1.852	-2.652	1.566	-0.562	1.9	 1.044e-01	 3.592e-02	-22.87560	
APO000000	CG12155_SOLEXA	0.845	3.026	1.983	1.206	0.329	0.261	-0.524	-1.259	0.138	 1.768e-02	 3.201e-08	-15.41015	
APO000000	CG12605_SOLEXA_5	-2.326	2.127	1.866	-2.29	-1.598	0.434	1.908	1.254	-0.536	 4.697e-02	 3.411e-09	-19.32586	
APO000000	CG14962_SOLEXA_5	2.499	-1.616	1.561	-2.054	-1.866	-0.681	0.364	1.041	-2.512	 6.699e-02	 4.558e-02	-21.30290	
APO000000	Atf_2_SOLEXA	1.958	1.753	0.396	-0.217	-0.516	2.374	-1.071	0.58	1.094	 6.979e-02	 7.206e-10	-20.90802	
APO000000	Bap_SOLEXA	-0.58	0.782	-2.014	-0.824	0.58	-1.499	-1.122	-1.405	0.598	 3.501e-02	 5.278e-03	-18.33619	
APO000000	BtbVII_SOLEXA	-0.095	3.509	-0.656	-1.359	-1.635	-0.755	0.625	-0.786	-1.17	 8.055e-02	 6.918e-10	-21.48227	
APO000000	CG11504_SOLEXA	-1.685	-0.849	0.04	-0.736	-1.852	-2.652	1.566	-0.562	1.9	 1.044e-01	 3.592e-02	-22.87560	
APO000000	CG12155_SOLEXA	0.845	3.026	1.983	1.206	0.329	0.261	-0.524	-1.259	0.138	 1.768e-02	 3.201e-08	-15.41015	
APO000000	CG12605_SOLEXA_5	-2.326	2.127	1.866	-2.29	-1.598	0.434	1.908	1.254	-0.536	 4.697e-02	 3.411e-09	-19.32586	
APO000000	CG14962_SOLEXA_5	2.499	-1.616	1.561	-2.054	-1.866	-0.681	0.364	1.041	-2.512	 6.699e-02	 4.558e-02	-21.30290	
APO000000	CG15601_SOLEXA	-3.091	-0.103	2.893	-0.856	-0.02	-0.867	0.316	0.05	-2.29	 6.051e-02	 6.176e-03	-20.47187	
